employee_id,first_name,last_name,date_of_birth,gender,job_title,company,salary,metro_area,work_zip_code,home_zip_code,work_benefits
EMP0025,Gabriel,Reilly,1994-08-30,F,"Producer, radio",HealthFirst Systems,154799,Chicago Metro,60799,60822,"20% off Peloton equipment and memberships, Gym membership reimbursement up to $100/month, Premium health insurance through BlueCross, Dental and vision coverage through MetLife"
EMP0026,Joe,Sanders,1961-10-26,M,Public relations officer,HealthFirst Systems,128495,Los Angeles Metro,90454,91578,"20% off Peloton equipment and memberships, 24/7 virtual mental health counseling, Dental and vision coverage through MetLife"
EMP0027,Nancy,Collins,1965-03-16,NB,"Scientist, marine",TechCorp Solutions,97878,Chicago Metro,60750,60685,"Gym membership reimbursement up to $100/month, 15% discount on local fitness classes, Premium health insurance through BlueCross, Annual health screening services"
EMP0028,Larry,Phillips,1993-08-25,F,"Psychologist, forensic",Green Energy Ltd,90429,Los Angeles Metro,90524,91592,"Gym membership reimbursement up to $100/month, Premium health insurance through BlueCross, 20% off Peloton equipment and memberships"
EMP0029,Heather,Villarreal,1960-03-09,M,Electronics engineer,HealthFirst Systems,139952,Chicago Metro,60782,60806,"Pet insurance through TrustedPals, 24/7 virtual mental health counseling, Gym membership reimbursement up to $100/month"
EMP0030,Amanda,Melendez,1961-07-30,F,Commercial horticulturist,Digital Innovations,177120,New York Metro,10048,07011,"Annual health screening services, 15% discount on local fitness classes, Pet insurance through TrustedPals"
EMP0031,Thomas,Singh,1992-03-10,M,Theatre director,Global Finance Inc,185099,Houston Metro,77389,77351,"$500 monthly commuter benefits, 24/7 virtual mental health counseling, 15% discount on local fitness classes, Pet insurance through TrustedPals"
EMP0032,Dawn,Ward,1974-12-06,NB,"Designer, ceramics/pottery",Global Finance Inc,165465,New York Metro,07089,07047,"$2500 annual wellness stipend, Annual health screening services, 15% discount on local fitness classes, Pet insurance through TrustedPals"
EMP0033,Mary,Cross,1982-01-28,NB,Broadcast engineer,HealthFirst Systems,77351,New York Metro,11550,10157,"$2500 annual wellness stipend, Premium health insurance through BlueCross, 20% off Peloton equipment and memberships"
EMP0034,Mario,Logan,1994-06-14,F,Waste management officer,Green Energy Ltd,91126,New York Metro,07058,10787,"$500 monthly commuter benefits, 15% discount on local fitness classes, $2500 annual wellness stipend, 24/7 virtual mental health counseling, Annual health screening services"
EMP0035,Darlene,Baker,1973-12-08,NB,Water quality scientist,Green Energy Ltd,108602,Houston Metro,77046,77148,"$500 monthly commuter benefits, Gym membership reimbursement up to $100/month, 15% discount on local fitness classes"
EMP0036,Andrea,Acosta,1984-11-04,NB,Public affairs consultant,TechCorp Solutions,177787,Houston Metro,77025,77219,"Annual health screening services, 24/7 virtual mental health counseling, Gym membership reimbursement up to $100/month, Pet insurance through TrustedPals, 20% off Peloton equipment and memberships"
EMP0037,Tiffany,Castillo,1995-01-30,M,Arts development officer,Green Energy Ltd,77406,Phoenix Metro,85008,85004,"Gym membership reimbursement up to $100/month, Dental and vision coverage through MetLife, Premium health insurance through BlueCross, 15% discount on local fitness classes, 24/7 virtual mental health counseling"
EMP0038,Kelly,Ochoa,1971-07-10,F,Hospital doctor,Digital Innovations,147315,Phoenix Metro,85054,85019,"$500 monthly commuter benefits, Dental and vision coverage through MetLife, 20% off Peloton equipment and memberships, 24/7 virtual mental health counseling, Pet insurance through TrustedPals"
EMP0039,Kelly,Conrad,1982-03-12,M,"Scientist, physiological",Global Finance Inc,172675,New York Metro,11544,10649,"$2500 annual wellness stipend, 24/7 virtual mental health counseling, Premium health insurance through BlueCross, 20% off Peloton equipment and memberships"
EMP0040,Debra,Hernandez,1964-10-09,M,Exercise physiologist,Green Energy Ltd,76766,Houston Metro,77477,77431,"Pet insurance through TrustedPals, 15% discount on local fitness classes, Premium health insurance through BlueCross, Gym membership reimbursement up to $100/month, $500 monthly commuter benefits"
EMP0041,Kathryn,Mcintosh,1968-01-06,NB,"Surveyor, hydrographic",Green Energy Ltd,76369,Phoenix Metro,85047,85011,"20% off Peloton equipment and memberships, Pet insurance through TrustedPals, 24/7 virtual mental health counseling"
EMP0042,Kevin,Jackson,1971-04-24,M,Health service manager,TechCorp Solutions,168152,New York Metro,11605,10402,"Pet insurance through TrustedPals, $2500 annual wellness stipend, Dental and vision coverage through MetLife"
EMP0043,William,Delgado,1971-09-27,NB,"Scientist, research (maths)",Digital Innovations,155205,Chicago Metro,60626,60725,"Pet insurance through TrustedPals, 20% off Peloton equipment and memberships, $2500 annual wellness stipend"
EMP0044,Jake,Shepard,1992-02-07,F,Building control surveyor,TechCorp Solutions,96486,Phoenix Metro,85029,85045,"20% off Peloton equipment and memberships, Dental and vision coverage through MetLife, Premium health insurance through BlueCross"
EMP0045,Theodore,Turner,1962-06-04,M,Learning disability nurse,Digital Innovations,179658,Chicago Metro,60819,60664,"20% off Peloton equipment and memberships, Annual health screening services, $500 monthly commuter benefits"
EMP0046,Edward,Chase,1967-07-20,M,Teaching laboratory technician,Global Finance Inc,108102,Los Angeles Metro,91134,90334,"Annual health screening services, Pet insurance through TrustedPals, $500 monthly commuter benefits, Gym membership reimbursement up to $100/month, Premium health insurance through BlueCross"
EMP0047,Donald,Jones,1985-11-24,M,Dietitian,Digital Innovations,160075,Houston Metro,77205,77586,"Premium health insurance through BlueCross, 24/7 virtual mental health counseling, 20% off Peloton equipment and memberships, Dental and vision coverage through MetLife"
EMP0048,Patrick,Stokes,1990-07-21,NB,Actuary,TechCorp Solutions,105241,Chicago Metro,60759,60721,"Premium health insurance through BlueCross, 20% off Peloton equipment and memberships, 24/7 virtual mental health counseling, Annual health screening services"
EMP0049,Donna,Johnson,1998-07-22,F,"Engineer, manufacturing systems",HealthFirst Systems,123280,Los Angeles Metro,90640,91314,"$500 monthly commuter benefits, 24/7 virtual mental health counseling, Pet insurance through TrustedPals"
EMP0050,Gregory,Moore,1985-03-24,NB,Set designer,Green Energy Ltd,121562,Houston Metro,77503,77065,"$500 monthly commuter benefits, Gym membership reimbursement up to $100/month, Premium health insurance through BlueCross"
